email,name,sourceTypes,approved,ownerUid
houseofkna@gmail.com,Middle Tennessee Metals,spring,yes,gTos6cVysDf82EaA4nE4CmbY7oF2
sayheatingandcooling@gmail.com,SAY HEATING AND COOLING,spring|csv,yes,NNKKzaW2GBOAdsO9RtO4ycjclcs1
kevin.christensen@twomen.com,Two Men and a Truck,spring|csv,yes,gicP2IFY3jYESRkAEHTWyVPvj8x1
barrieroftn@gmail.com,Barrier Waterproofing,spring|csv,yes,DXrdLJK6UvZqCoy1iDQ8N8OOyPM2
dennis@h20waterbiz.com,H20 Waterbiz southeast LLC,spring|csv,yes,iq9QeBBNqIVl88wE0yEshC3CPOw2
jenna@homefoodservices.com,Passanante's Home Food Services,spring|csv,yes,blxav4fzdherkheL1GYaqLfgTSv2
natalie.bloomer@leafhome.com,LeafHome Bath,spring,yes,lo5BNSQ349SNe1hvWoMCvwnsiaV2
events@leafhomeenhancements.com,LeafHome Bath,spring|csv,yes,q6dsX5YH0JgGesz17TqF0ZoDd792
mike@middletennesseecleaners.com,Middle Tennessee Cleaners,spring|csv,yes,1P1JKqgoBshv81bZA3cRWgPpPFs1
tjholland.th@gmail.com,LeafX of TN,spring,yes,sBixYJ68bnWPESs03LRjo8PwDm12
thomas.surratt1@t-mobile.com,T-Mobile,spring|csv,yes,oAVTQ8B9mFZFZcNaLdUjHJRLiLT2
ims@ibyfax.com,Integrity Metal Sales & Lumber,spring|csv,yes,sKGBLNF0vsedGqMF0wg8Qs3fIya2
shanautica.sales@greatdayimprovements.com,Patio Enclosures,spring|csv,yes,KNfxQWok4Khq5e0Xn9KNTf3niA82
events@cutco.com,Cutco,spring|csv,yes,HqQCr54WV2MZ5EKgtxY0bTw1apm2
glayton@improveitusa.com,Improveit Home Remodeling,spring,yes,gCRIb0xb4EWiAHXRdkU4JWuLVar2
amy@uppercumberlandgenerators.com,Upper Cumberland Generators,spring,yes,2qsj1ehpVPb15rFbKPGTDs795qG3
joe.patriotcontractors@gmail.com,"Patriot Contractors, LLC",spring|csv,yes,6iQRDNS1bXNOhFH0CXFAidnV9sH3
shannon@truemetalsupply.com,True Metal Supply,spring|csv,yes,hXYkX3YKDPgbTP2RUG5rxJZMWAF2
derrick@allamericanmatress.com,All American Matters,spring,yes,AOrqHk4lOeOcX0ClKZTIcWdczgv2
jwilliams@budgetblinds.com,Budget Blinds,spring,yes,YwrxucHTJjRFzl1Puq01Xrle4KO2
jaden@flynndevelopment.co,Flynn Development,spring,yes,yJ79SYrdWvgv9pUdPQpRgUERvdu2
marketing@stabledry.com,United Structural Systems (USS),spring|csv,yes,WWBjAbdArRPHfzV6syAd2lZD3g92
nashevents@windowsbyrba.com,Renewal by Andersen,spring|csv,yes,fOkl9rD508Xnl4bHHktFMbMEUxg1
unknown@americanhomedesign.com,American Home Design,spring,yes,PFpMUdxDcaMIHCmpdeutyBf1ogC2
dunn2676@gmail.com,Upper Cumberland Remodeling LLC,spring|csv,yes,SDtUkeu19nQgbbJZKwFtetAo05D2
events@southernshowers.com,Southern Showers,spring|csv,yes,gGaWKM9ausPakcaKRXxT8Ixez4m1
garry@putnamplumbing.com,Putnam Plumbing,spring|csv,yes,BvooPdSa7fVujB7eoDkeZI9CqGI2
jasonbo1462@gmail.com,"NXT Generation Painting, LLC",spring|csv,yes,kcva6ZIv0zRLNoq74PCWBfZZolU2
