"show_id","vendor_name","email","category","phone","sign_up_status","sign_in_status","last_sign_in_utc","contract_status","approved","vendor_status","invite_status","password_reset_status","last_reset_sent_at_utc","vendor_id","owner_uid","created_at_utc","updated_at_utc"
"putnam-fall-2026","A Cut Above Roofing LLC","acutaboveroofing@gmail.com","Roofing","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","10PckUQMzpxdsTszeDB9","VorTAckfiha30wBmgEOveqtoLnz2","2026-03-04T21:10:14.000Z","2026-03-04T21:10:14.000Z"
"putnam-fall-2026","All American Mattress LLC","derrick@allamericanmattress.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","fiq6Km1gVHtA9kmpywwM","loB9tYWEJHhgDQzWJFCot8I3IrU2","2026-03-04T21:10:03.000Z","2026-03-04T21:10:03.000Z"
"putnam-fall-2026","Allen's Land Development","allenslanddevelopment@gmail.com","Other","","Completed","Signed In","Sun, 22 Feb 2026 20:48:13 GMT","Not Signed","yes","","claimed","included_in_invite","2026-02-22T20:41:24.540Z","iapbuC9Jfmht5RmhW69D","uO77ztA2uFWC2IetlMyjHn8bpmT2","2026-02-22T20:41:22.000Z","2026-02-22T20:48:19.000Z"
"putnam-fall-2026","American Home","gayle.edmiston@yahoo.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","6EriGMG81lmmVLx69j37","qXdhessOnXTuvSL2yPtEUQtlLqT2","2026-03-04T21:10:13.000Z","2026-03-04T21:10:13.000Z"
"putnam-fall-2026","American Home Design","mgoodchild@americanhomedesign.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","kwEEdA2M6mYyhloucqmP","Rga5uDEEi4eigDQ6sWxm5zyw02H2","2026-03-04T21:10:10.000Z","2026-03-04T21:10:10.000Z"
"putnam-fall-2026","America's Home Place","jbrezeale@americashomeplace.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","xZOl6TqY8G8SQ2jbe7Hp","OWg2sqi1YLR3V3h4RGfHuY9qh6y2","2026-03-04T21:10:02.000Z","2026-03-04T21:10:02.000Z"
"putnam-fall-2026","Aqua Pools","sales@aquapoolsllc.com","Pools & Spas","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","p2EhDXAEnyjHBBDegqQN","oi84xslzJgXN5qgdL84iFdd1ynZ2","2026-03-04T21:10:07.000Z","2026-03-04T21:10:07.000Z"
"putnam-fall-2026","Axen Realty","canglin@axenrealty.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","QkxWix0knItN4X2NqqGi","qsMBAhnV1CWibEo2tl3Z5fbT97E2","2026-03-04T21:10:05.000Z","2026-03-04T21:10:05.000Z"
"putnam-fall-2026","B&H Storm Shelters","b&hshelters@yahoo.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","U1jVucY8fZTbMQGKfC9G","QCaJUdkgMPNinTgtDCTKugVHLAH2","2026-03-04T21:10:03.000Z","2026-03-04T21:10:03.000Z"
"putnam-fall-2026","B&H Storm Shelters","bandhshelters@yahoo.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","kBZSgtdsWUdwvyiJBYyy","MER9Gb5KFRZbofS3tXVQSs8Mc602","2026-03-04T21:10:01.000Z","2026-03-04T21:10:01.000Z"
"putnam-fall-2026","Barrier Waterproofing","barrieroftn@gmail.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","xVAMMzEzmPqSGP3Fl0vM","DXrdLJK6UvZqCoy1iDQ8N8OOyPM2","2026-03-04T21:09:47.000Z","2026-03-04T21:09:47.000Z"
"putnam-fall-2026","Bath Fitter","marshellia.johnson@bathfitter.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","PqJCodo4bAbnDuH7pgvi","UWO9utyN0NZBVbUWBPlbMHdlWQr2","2026-03-04T21:09:57.000Z","2026-03-04T21:09:57.000Z"
"putnam-fall-2026","Beautiful Homes and Decks","curbappealoftn@gmail.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","l391bb7mVmpMkMfCTCi1","xU29nmQA62bGiSMkIjqbpfR7AxI2","2026-03-04T21:10:15.000Z","2026-03-04T21:10:15.000Z"
"putnam-fall-2026","Bruck Contractors LLC","zeke@bruckcontractors.com","Other","","Completed","Signed In","Mon, 23 Feb 2026 00:02:26 GMT","Not Signed","yes","approved","","","","p7QR35JAl9MSPImvtxUN","RlPhavbt3MNrRXciRFJYK4575Q52","2026-03-04T21:10:07.000Z","2026-03-04T21:10:07.000Z"
"putnam-fall-2026","Budget Blinds","jwilliams@budgetblinds.com","Other","","Account Claimed (No sign-in recorded)","Not Signed In","","Not Signed","yes","approved","","","","qnJYWueIyEzIOgbCgBSq","YwrxucHTJjRFzl1Puq01Xrle4KO2","2026-03-04T21:09:53.000Z","2026-03-04T21:09:53.000Z"
