vendorId,name,email,category,contactPhone,approved,status,contractSigned,inviteStatus,passwordResetStatus,latestResetSentAt,ownerUid,authLastSignInTime,createdAt,updatedAt
10PckUQMzpxdsTszeDB9,A Cut Above Roofing LLC,acutaboveroofing@gmail.com,Roofing,,yes,approved,no,,,,VorTAckfiha30wBmgEOveqtoLnz2,,2026-03-04T21:10:14.000Z,2026-03-04T21:10:14.000Z
fiq6Km1gVHtA9kmpywwM,All American Mattress LLC,derrick@allamericanmattress.com,Other,,yes,approved,no,,,,loB9tYWEJHhgDQzWJFCot8I3IrU2,,2026-03-04T21:10:03.000Z,2026-03-04T21:10:03.000Z
iapbuC9Jfmht5RmhW69D,Allen's Land Development,allenslanddevelopment@gmail.com,Other,,yes,,no,claimed,included_in_invite,2026-02-22T20:41:24.540Z,uO77ztA2uFWC2IetlMyjHn8bpmT2,"Sun, 22 Feb 2026 20:48:13 GMT",2026-02-22T20:41:22.000Z,2026-02-22T20:48:19.000Z
xZOl6TqY8G8SQ2jbe7Hp,America's Home Place,jbrezeale@americashomeplace.com,Other,,yes,approved,no,,,,OWg2sqi1YLR3V3h4RGfHuY9qh6y2,,2026-03-04T21:10:02.000Z,2026-03-04T21:10:02.000Z
6EriGMG81lmmVLx69j37,American Home,gayle.edmiston@yahoo.com,Other,,yes,approved,no,,,,qXdhessOnXTuvSL2yPtEUQtlLqT2,,2026-03-04T21:10:13.000Z,2026-03-04T21:10:13.000Z
kwEEdA2M6mYyhloucqmP,American Home Design,mgoodchild@americanhomedesign.com,Other,,yes,approved,no,,,,Rga5uDEEi4eigDQ6sWxm5zyw02H2,,2026-03-04T21:10:10.000Z,2026-03-04T21:10:10.000Z
p2EhDXAEnyjHBBDegqQN,Aqua Pools,sales@aquapoolsllc.com,Pools & Spas,,yes,approved,no,,,,oi84xslzJgXN5qgdL84iFdd1ynZ2,,2026-03-04T21:10:07.000Z,2026-03-04T21:10:07.000Z
QkxWix0knItN4X2NqqGi,Axen Realty,canglin@axenrealty.com,Other,,yes,approved,no,,,,qsMBAhnV1CWibEo2tl3Z5fbT97E2,,2026-03-04T21:10:05.000Z,2026-03-04T21:10:05.000Z
U1jVucY8fZTbMQGKfC9G,B&H Storm Shelters,b&hshelters@yahoo.com,Other,,yes,approved,no,,,,QCaJUdkgMPNinTgtDCTKugVHLAH2,,2026-03-04T21:10:03.000Z,2026-03-04T21:10:03.000Z
kBZSgtdsWUdwvyiJBYyy,B&H Storm Shelters,bandhshelters@yahoo.com,Other,,yes,approved,no,,,,MER9Gb5KFRZbofS3tXVQSs8Mc602,,2026-03-04T21:10:01.000Z,2026-03-04T21:10:01.000Z
xVAMMzEzmPqSGP3Fl0vM,Barrier Waterproofing,barrieroftn@gmail.com,Other,,yes,approved,no,,,,DXrdLJK6UvZqCoy1iDQ8N8OOyPM2,,2026-03-04T21:09:47.000Z,2026-03-04T21:09:47.000Z
PqJCodo4bAbnDuH7pgvi,Bath Fitter,marshellia.johnson@bathfitter.com,Other,,yes,approved,no,,,,UWO9utyN0NZBVbUWBPlbMHdlWQr2,,2026-03-04T21:09:57.000Z,2026-03-04T21:09:57.000Z
l391bb7mVmpMkMfCTCi1,Beautiful Homes and Decks,curbappealoftn@gmail.com,Other,,yes,approved,no,,,,xU29nmQA62bGiSMkIjqbpfR7AxI2,,2026-03-04T21:10:15.000Z,2026-03-04T21:10:15.000Z
p7QR35JAl9MSPImvtxUN,Bruck Contractors LLC,zeke@bruckcontractors.com,Other,,yes,approved,no,,,,RlPhavbt3MNrRXciRFJYK4575Q52,"Mon, 23 Feb 2026 00:02:26 GMT",2026-03-04T21:10:07.000Z,2026-03-04T21:10:07.000Z
qnJYWueIyEzIOgbCgBSq,Budget Blinds,jwilliams@budgetblinds.com,Other,,yes,approved,no,,,,YwrxucHTJjRFzl1Puq01Xrle4KO2,,2026-03-04T21:09:53.000Z,2026-03-04T21:09:53.000Z
OOfFb7ejltG1xWeTkQLA,C & W Mechanical,lisa@cwmechanicalservices.com,HVAC,,yes,,yes,claimed,included_in_invite,2026-02-22T22:02:15.579Z,pMVjtTEiQIPl8fVexPcPOmBfUNQ2,"Wed, 04 Mar 2026 20:51:15 GMT",2026-02-22T22:02:12.000Z,2026-03-04T20:52:04.000Z
